Title,DOI,Journal,Date,Authors,Abstract,PDF_Status
Convergence of Computational Materials Science and AI for Next-Generation Energy Storage Materials,10.1007/s11664-025-12511-4,Journal of Electronic Materials,2026-01-01,"Pan, Xuexue, Xie, Yuanlin, Li, Chujun, He, Yingyin, Zhang, Yitong, Wang, Yilin, Li, Ziman, Peng, Peiyu, Wang, Jun","With the urgent demand for high-performance energy storage materials in the global energy transition, traditional experimental trial and error methods are difficult to meet the rapid research and development needs owing to long cycles and high costs. In recent years, the deep integration of computational materials science and artificial intelligence (AI) technology has provided revolutionary tools for the rational design and performance optimization of energy storage materials. This article systematically reviews the progress of research on energy storage material computation and AI systems. At the traditional method level, quantum mechanics computation (such as VASP, Quantum ESPRESSO), molecular dynamics (such as LAMMPS, GROMACS), and high-throughput computing platforms (such as Materials Project) have achieved accurate predictions of material electronic structure, interface dynamics, and high-throughput screening. At the AI-driven level, generative models (GNoME, 3D-GPT), graph neural networks (MEGNet, CGCNN), and experimental computational closed–loop systems (such as the autonomous driving laboratory A-Lab) have significantly accelerated the discovery and reverse design of new materials. Further focusing on the integration trend of multi-scale modeling and AI, physical information-driven AI models (DPMD, PINNs) and cross-scale integration platforms (ASE, MedeA) are driving the collaborative improvement of material simulation accuracy and efficiency. However, data scarcity, computational bottlenecks caused by multi-physics coupling, and barriers to tool industrialization remain current challenges. In the future, sustainable design paradigms, open-source ecological construction, and human-machine collaboration models will lead the research and development of energy storage materials into the era of “digital priority.” This article aims to provide a technical roadmap reference for interdisciplinary research and call for collaboration between academia and industry to overcome key bottlenecks and accelerate the innovation breakthrough and large-scale application of energy storage materials.",Downloaded
Y^3+-Induced 2D Nano Vanadium Oxide Materials for High-Performance Aqueous Zinc Ion Batteries,10.1007/s11664-025-12501-6,Journal of Electronic Materials,2026-01-01,"Sun, Luyao, Lu, Ziyin, Zhong, Shenglin, Liang, Fangan, Song, Lijie, Wang, Yunjie, Zheng, Rong, Zheng, Xiuxin, Zou, Zhengguang","Aqueous zinc-ion batteries (AZIBs) have emerged as one of the most promising options for contemporary energy storage systems owing to their inherent low cost, high safety, and environmental friendliness. However, developing high-performance AZIB cathode materials that meet the requirements for large-scale applications remains a considerable challenge. This study employed a straightforward hydrothermal method to efficiently synthesize Y^3+ preintercalated hydrated vanadium oxide cathode material (VOH-Y). By introducing rare-earth Y^3+ ions into layered V_10O_24·nH_2O, the original interlayer spacing was modulated; concurrently, this promoted the formation of a uniform two-dimensional nanosheet structure in VOH-Y, effectively optimizing the Zn^2+ diffusion path and the distribution of insertion/extraction active sites, thereby enhancing diffusion kinetics. Therefore, the VOH-Y cathode delivered a specific capacity of 374.99 mAh g^−1 at 0.5 A g^−1 with 90.18% capacity retention after 200 cycles. This work highlights the importance of the Y^3+ preintercalation strategy and provides new insights for developing high-performance AZIB cathode materials.",Downloaded
Nutrient dynamics following 50 years of reduced loading in the large and shallow Lake Arresø,10.1007/s10750-025-05952-9,Hydrobiologia,2026-01-01,"Sand-Jensen, Kaj, Sø, Jonas Stage, Kragh, Theis","Motivated by a citizens group to improve the ecological quality in Denmark’s largest lake, we examined 50 years of measurements to evaluate the scope for improvement. We found that external inputs in the early 2020s contained only 10% of phosphorus (P) compared to the mid-1980s, mainly due to effective purification of urban wastewater. Although in-lake P and chlorophyll concentrations decreased four–fivefold, summer Secchi depths are only 40–60 cm, but not because large sediment nutrient pools causes high internal loading and long-term delays upon load reductions. Rather, frequent sediment resuspension ensures intimate contact between nutrient pools in surface sediments and the water and close correspondence between P inputs and in-lake concentrations. Thus, costly attempts to remove surface sediments or add chemicals to bind P will not have long-term effects. Instead, predictions show that reducing the external P input twofold would increase Secchi depths to about 1 m and might bring waterplants back to Lake Arresø. For this to happen would require appreciable reduction in nutrient runoffs from the farmland by means of larger uncultivated lowland areas, wider buffer strips along the streams and reduced fertilizer application.",Downloaded
"Temporal variation in macroinvertebrate assemblage structure in the Ohio River, USA",10.1007/s10750-025-05924-z,Hydrobiologia,2026-01-01,"Atutey, Esther, Pyron, Mark","A history of industrialization, oil spills, fires, and silt pollution from agriculture and urbanization led to the Ohio River being listed as one of the most polluted rivers in the USA. The Ohio River Valley Water Sanitation Commission (ORSANCO) and its members responded and conducted monitoring programs for pollutants to monitor water quality. ORSANCO collected annual macroinvertebrate samples at multiple locations using Hester–Dendy samplers. Collections using Hester–Dendy samplers from 1968 to 2004 resulted in 2,934,984 macroinvertebrates in 75 families and 321 species. We tested for temporal variation in trait (functional feeding groups) and taxonomic abundances of Ohio River macroinvertebrates. Our PCA analysis using trophic and tolerance traits resulted in significant temporal patterns. Macroinvertebrate richness increased following implementation of the federal Clean Water Act of 1972. Most trophic traits increased in abundance more recently. We interpreted these patterns as evidence for improvements in water quality and associated macroinvertebrate assemblages.",Downloaded
Beyond Water Splitting Developing Economic Friendly Photoelectrochemical Value-added Reactions for Green Solar-to-Chemical Energy Conversions,10.1007/s11814-024-00306-y,Korean Journal of Chemical Engineering,2026-01-01,"Hou, Ying, Xia, Chengkai, Wang, Siyan, Lei, Qian, Li, Yuankai, Xu, Hongyan, Kim, Jung Kyu","Facing climate change and the fossil fuel crisis, the global need for clean energy is more urgent than ever. Converting solar energy to produce green hydrogen fuel through photoelectrochemical (PEC) water splitting is a feasible strategy for utilizing solar energy, aligning with the increasing global demand for clean energy production. However, the energy conversion efficiency and overall economic benefit are severely limited by the slow kinetics of the oxygen evolution reaction (OER) and the low profitability of oxygen production, hindering the commercial utilization of PEC energy conversion technology. In the past few years, studies focusing on replacing the OER with PEC value-added reactions, which can produce high-value products, have received great attention. This not only improves the economic benefits of the general reaction system but also enhances the energy conversion efficiency. In this review, the basic principles of PEC value-added reactions and feedstock-product cost analysis are introduced first. Then, the latest research progress on PEC glycerol oxidation, H_2O_2 production, and ammonia splitting is summarized and discussed in detail. Finally, the status of commercial applications, further prospects, and challenges are discussed.",Downloaded
Robust Optimal Scheduling of Microgrid Based on Data-Driven Segmented Power Multi-Interval Uncertainty Sets,10.1007/s42835-025-02394-0,Journal of Electrical Engineering & Technology,2026-01-01,"Wang, Guodong, Zheng, Guoqiang, Su, Zhonge, Hu, Miaosen, Kong, Lingrui","The uncertainties of renewable distributed generation power output and load demand have created significant challenges to the scheduling of grid-connected microgrids and have restricted the carbon emission reduction capability of microgrid. To address the problems posed by source-load uncertainties of microgrid and carbon emissions on scheduling, this paper proposes a two-stage robust optimal scheduling model for microgrid based on data-driven segmented multi-interval uncertainty sets. Firstly, the source-load predicted power and error data are segmentally fitted based on a Gaussian mixture model, which is combined with a box-type uncertainty set to establish a multi-interval uncertainty set for the power partition segments, which is used to characterize the wind, photovoltaic and load uncertainties more accurately; then, a robust optimal scheduling model for microgrid considering segmented multi-interval uncertainty sets and carbon emissions is constructed to minimize the microgrid operation cost and carbon emission cost. The model is solved using an improved Columns and Constraints Generation (CC&G) algorithm. Finally, the effectiveness of the proposed model is verified by case studies. The results show that the total cost of the proposed method is reduced by 8.15%, 3.13%, and 12.10% compared to single-interval RO, multi-interval RO, and ellipsoidal RO, respectively, and the solution time is reduced by about 100 s compared to SO. This indicates that the proposed model can better balance the economy and robustness of MG. In addition, the robustness and economy of the scheduling scheme can be flexibly adjusted by choosing appropriate uncertain budget parameters as needed during the actual formulation of the scheduling scheme.",Downloaded
Seasonal dynamics of copepod functional traits as ecological indicators in the marine ecosystems,10.1007/s10750-025-05947-6,Hydrobiologia,2026-01-01,"Choi, Seo Yeol, Soh, Ho Young, Seo, Min Ho, Lee, Eun Hye, Jeong, Young Seok, Choo, Seowhi, Lee, Seok Ju, Kim, Kyoung Yeon, Park, Kyung Woo, Youn, Seok Hyun","We investigated the ecological indicators and functional traits of copepods across the East Sea (ES), South Sea (SS), Yellow Sea (YS), and East China Sea (ECS) over four seasons in 2020. A total of 128 copepod species were identified and categorized into four functional traits based on variations in body length, feeding type, trophic group, and spawning strategy. In the YS, smaller copepods, primarily omnivores and mixed feeders, dominated spring communities, influenced by cooler temperatures and the Yellow Sea Cold Water Mass. During summer, the SS + ECS regions, affected by the nutrient-rich Kuroshio Current, saw an increase in larger omnivorous-herbivores. Autumn featured a diverse mix of sac-spawners and omnivorous-carnivores across all regions, while winter communities showed varied feeding strategies, with the ES exhibiting stable species composition and the YS and SS + ECS adapting to colder, nutrient-limited conditions. The SS + ECS consistently displayed higher species richness and functional diversity, driven by complex oceanographic processes and monsoonal patterns. Distance-based Redundancy Analysis (dbRDA) revealed significant correlations between multiple environmental variables, with the spatial distribution of indicator species. Threshold Indicator Taxa analysis (TITAN) further indicated species-specific threshold responses to hydrographic changes, emphasizing the role of temperature and salinity in structuring copepod communities across different regions. This study underscores the importance of regional and seasonal variability in marine ecosystems and the utility of copepod functional traits as indicators of environmental change.",Downloaded
Performance Analysis of Hybrid Energy Storage Systems in Abandoned Mines Peak-Shaving and Load Balancing using Multi-Source Heat Storage,10.1007/s42835-025-02448-3,Journal of Electrical Engineering & Technology,2026-01-01,"Zhang, Linfang, Ji, He","This paper presents a multi-source thermal storage for peak shaving and load balancing to improve the performance of Hybrid Energy Storage (HES) systems for abandoned mines. The proposed system combines renewable energy sources, such as solar, wind, and traditional power sources, and use Information Gap Decision Theory (IGDT) to optimize scheduling under uncertainties. Furthermore, it implements a Multi-Source Thermal Storage Peak Shaving (MSTSPS) with a Load Balancing Strategy (LBS) to manage variable loads efficiently, which significantly reduces peak-to-valley load differences and scheduling costs. In the end, it presents a case study using IEEE-39 nodes to evaluate the performance of the proposed work. Results show that the proposed system reduced peak-to-valley load differences with substantial cost savings, highlighting the potential of abandoned mines as sustainable, cost-effective storage solutions for renewable energy.",Downloaded
Composite Insulator Skirt Defect Identification Based on the Electric Field Distribution Method Combined with Machine Learning,10.1007/s11664-025-12467-5,Journal of Electronic Materials,2026-01-01,"Xu, Shuaiqi, Che, Changjin, Yao, Qiang, Gao, Yunzhong, Wang, Zengyan","Composite insulators are widely used in power systems. However, surface defects can compromise their insulation performance, with different defects having varying impacts. The effective identification of these defects and the development of maintenance strategies tailored to each type of defect are crucial. This paper presents a defect detection method that integrates electric field distribution with machine learning. First, a 3D model of the composite insulator is created using COMSOL Multiphysics software. Electric field simulations are conducted on the umbrella skirt surface of the insulator to obtain electric field distributions under different defect conditions. Feature engineering is then employed to extract relevant features from the electric field data, which are subsequently input into machine learning algorithms for classification. Experimental results demonstrate that this method effectively identifies defects on the composite insulator’s umbrella skirt surface, achieving defect identification accuracy of 92.50%. Furthermore, the machine learning classifier exhibits strong performance in terms of precision, recall, and F1 score. This approach significantly enhances the automation of defect recognition, providing valuable support for fault detection and maintenance decision-making in power systems.",Downloaded
Effects of flooding on aquatic macroinvertebrate assemblage structure on a connected and disconnected regulated river floodplain,10.1007/s10750-025-05921-2,Hydrobiologia,2026-01-01,"Wooden, Patricia L. S., Kelso, William E., Kaller, Michael D.","The Atchafalaya River Basin is the largest continuously forested floodplain in the United States. This ecosystem has been heavily modified for flood control and human use, often with minimal study into ecological effects on resident biota. As part of modifications, sections of the historic floodplain have been disconnected from the annual flood pulse via an extensive levee system. We examined the influence of the annual flood pulse on aquatic macroinvertebrate assemblages, with an emphasis on Hemiptera, by sampling a connected floodplain and a disconnected floodplain lake across two flood pulses of varying magnitude in 2018 and 2019. On the connected floodplain, flooding-related changes to temperature, dissolved oxygen, and water depth were important factors differentiating early flood and late-flood assemblages. Disconnected floodplain insect assemblages greatly differed from connected floodplain by 50% of taxa, lower richness, and lower densities of 21 of 24 taxa shared between both floodplains. Flooding magnitude between years delayed development of the late-flood assemblage later into the flood pulse. Results suggest, in terms of aquatic insect abundance and composition, aerial dispersal from adjacent (< 100 m) floodplain areas cannot replace loss of direct river connectivity. Further, restoration of riverine flooding is important for re-establishing aquatic macroinvertebrate assemblages in disconnected floodplains.",Downloaded
EU regulation An unprecedented opportunity to protect children’s and wildlife health from the toxic effects of lead ammunition,10.1007/s13280-025-02219-4,Ambio,2026-01-01,"Pain, Deborah J., Green, Rhys E., Kanstrup, Niels, Mateo, Rafael","Lead is highly toxic to humans and other animals; thus, many uses have been restricted. One exception is lead ammunition, which remains a source of dietary exposure to humans and wildlife. In February 2025, the European Commission published draft regulations for habitat-wide lead ammunition restrictions to protect wildlife and human, particularly children’s, health. These require approval under EU processes. Under EU regulation, Maximum Levels (MLs) for lead have been set for most marketed meats to protect human health, but, surprisingly, no ML has been set for lead in game meat: Here we describe research that supports the urgent need for this. We recommend both approval of the proposed EU ban on lead ammunition use and the setting of MLs for lead in game meat as a complementary measure to aid monitoring and encourage transition to lead-free ammunition globally. These long-overdue measures would protect both children’s and wildlife health.",No Access
The Evaluation of Benefits from Green Electricity Trading in New Energy Power Stations,10.1007/s42835-025-02443-8,Journal of Electrical Engineering & Technology,2026-01-01,"Wang, Bin, Yao, Shuailiang, Liu, Haixu, Cheng, Dongxia, Liu, Hongyong, Kou, Jian, Yang, Chengdong, Su, Changjiang","With the growing global emphasis on climate change mitigation and sustainable development, renewable energy sources such as wind, solar, and hydro power have become essential for transforming electricity systems. To facilitate the effective integration of renewables into electricity markets, researchers have increasingly focused on developing optimized and transparent market mechanisms. However, existing evaluation frameworks for green power projects remain limited, often emphasizing economic outcomes while neglecting critical social and environmental dimensions, as well as system-level constraints. To address these limitations, this study develops a comprehensive benefit evaluation framework for green electricity trading in new energy stations, encompassing economic, environmental, and social indicators. The model integrates fuzzy comprehensive evaluation and an improved AHP-entropy weighting method, with added robustness through Monte Carlo simulation and sensitivity analysis of expert weights. To account for real-world constraints, the framework considers potential transmission congestion, locational grid access limitations, and external climate risks—such as prolonged low-wind periods or dust storms—via scenario-based simulations.The results from multiple case studies demonstrate that the proposed model performs more reliably and consistently than baseline approaches across most evaluation criteria. The inclusion of uncertainty bounds and statistical validation (e.g., RMSE, significance tests) further supports the credibility of the outcomes. This study concludes that green power projects offer strong multidimensional benefits and proposes practical policy recommendations to support the rational development of green electricity markets. The framework contributes meaningfully to advancing the large-scale, resilient deployment of renewable energy within complex power systems.",Downloaded
